    81         1       2408.7   2408.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2454.0   2454.0      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2851.0   2851.0      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2419.1   2419.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2639.8   2639.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2417.2   2417.2      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2409.2   2409.2      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2421.5   2421.5      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2420.2   2420.2      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2558.1   2558.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2404.0   2404.0      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2416.1   2416.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2425.4   2425.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2412.5   2412.5      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2413.1   2413.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2412.9   2412.9      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2442.1   2442.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2398.7   2398.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2403.1   2403.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2428.8   2428.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2412.8   2412.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2412.7   2412.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2457.6   2457.6      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2414.7   2414.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2401.9   2401.9      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2410.3   2410.3      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2398.0   2398.0      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2412.4   2412.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2389.8   2389.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2402.7   2402.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2421.2   2421.2      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2423.4   2423.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2436.6   2436.6      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2404.7   2404.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2419.1   2419.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2430.1   2430.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2478.1   2478.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2434.6   2434.6      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2547.1   2547.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2414.4   2414.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2526.3   2526.3      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2398.0   2398.0      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2490.4   2490.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2414.7   2414.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2442.1   2442.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2394.5   2394.5      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2409.6   2409.6      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2413.4   2413.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2414.8   2414.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2400.2   2400.2      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2439.5   2439.5      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2411.8   2411.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2442.8   2442.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2439.3   2439.3      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2406.6   2406.6      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2413.3   2413.3      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2398.5   2398.5      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2418.1   2418.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2426.1   2426.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2416.5   2416.5      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2445.8   2445.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2403.2   2403.2      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2466.3   2466.3      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2482.1   2482.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2459.7   2459.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2410.0   2410.0      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2395.7   2395.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)

time_min:2382.5, time_max:9727.4, time_avg:2542.9150000000004, time_std:737.3282439151507
percent_min:0.1, percent_max:0.4, percent_avg:0.10499999999999998, percent_std:0.032787192621509996
