    83         1       3443.0   3443.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2876.5   2876.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3260.9   3260.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2944.6   2944.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2945.1   2945.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2909.5   2909.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2910.8   2910.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2913.2   2913.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2905.1   2905.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2981.9   2981.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2920.3   2920.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3801.3   3801.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2931.5   2931.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2925.7   2925.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2896.7   2896.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2921.1   2921.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2901.8   2901.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2916.4   2916.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3512.0   3512.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3074.4   3074.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2905.2   2905.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3396.1   3396.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2897.6   2897.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2962.1   2962.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2940.7   2940.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2924.4   2924.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2969.2   2969.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3502.2   3502.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2899.6   2899.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3298.3   3298.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2926.5   2926.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2878.1   2878.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2889.9   2889.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3485.9   3485.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2889.5   2889.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2930.8   2930.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2900.5   2900.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3019.1   3019.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2899.8   2899.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2885.5   2885.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2948.0   2948.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2883.5   2883.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2921.2   2921.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2951.6   2951.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2908.6   2908.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3199.1   3199.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2903.2   2903.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3005.3   3005.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3255.4   3255.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2882.9   2882.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2950.3   2950.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3093.9   3093.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2922.1   2922.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2964.9   2964.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2943.8   2943.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2897.9   2897.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2881.1   2881.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2985.6   2985.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2893.6   2893.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2893.3   2893.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2886.0   2886.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2908.6   2908.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2890.3   2890.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2924.7   2924.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2894.2   2894.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2937.6   2937.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2893.6   2893.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2940.1   2940.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2895.2   2895.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2897.8   2897.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2893.5   2893.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2893.5   2893.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2863.3   2863.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2920.3   2920.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2901.3   2901.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2945.8   2945.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2969.3   2969.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2916.3   2916.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2884.8   2884.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2954.5   2954.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2982.7   2982.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3119.1   3119.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2896.8   2896.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2905.8   2905.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
Total time: time_min:2863.3, time_max:3801.3, time_avg:2979.290909090909, time_std:163.6451878092141
percent_min:0.2, percent_max:0.2, percent_avg:0.19999999999999998, percent_std:2.7755575615628914e-17
