    81         1       3275.2   3275.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2903.3   2903.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2937.1   2937.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2996.1   2996.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2993.6   2993.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3027.3   3027.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2899.1   2899.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3146.9   3146.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2935.6   2935.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2944.5   2944.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3488.0   3488.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2980.9   2980.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2914.3   2914.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2981.2   2981.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2934.2   2934.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2881.8   2881.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2905.7   2905.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2908.3   2908.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2887.9   2887.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2990.7   2990.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2922.0   2922.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2885.4   2885.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2932.2   2932.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2896.9   2896.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3078.3   3078.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2944.6   2944.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2936.2   2936.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2973.9   2973.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2886.1   2886.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2882.2   2882.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2923.5   2923.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2892.9   2892.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2886.5   2886.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2896.0   2896.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2875.9   2875.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2921.4   2921.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2902.4   2902.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2907.3   2907.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2900.0   2900.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2977.9   2977.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2896.0   2896.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2893.9   2893.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2887.8   2887.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2898.4   2898.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2882.7   2882.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2895.9   2895.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2887.2   2887.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2900.4   2900.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2927.8   2927.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2869.7   2869.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
Total time: time_min:2874.3, time_max:3726.9, time_avg:2960.6838383838385, time_std:135.04445336727758
percent_min:0.2, percent_max:0.2, percent_avg:0.19999999999999998, percent_std:2.7755575615628914e-17
